m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
3.9318256327243257,2,1,12,6,1,1,Balcon,Central,0,1,High,0,1,0,0,15e,6.3216671707156
4.204692619390966,4,3,6,1,1,1,0,Unknown,0,0,Average,0,0,0,0,11e,6.63200177739563
3.6635616461296463,2,1,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,18e,6.212606095751519
4.820281565605037,5,3,6,1,1,1,0,Unknown,0,0,Average,0,0,0,0,7e,7.575584651557793
4.248495242049359,4,3,1,0,1,0,0,Unknown,0,0,Small,1,0,0,0,15e,6.840546529288687
3.332204510175204,2,1,5,0,1,0,0,"Individuel, électrique",0,0,Average,1,0,1,0,18e,5.598421958998375
4.709530201312334,5,3,5,4,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,7.162397497355718
3.5263605246161616,2,1,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,19e,5.886104031450156
4.605170185988092,4,3,6,1,1,1,0,Individuel,1,0,Average,0,0,1,0,17e,6.956545443151569
4.204692619390966,4,3,6,6,1,0,0,Unknown,0,0,Average,0,0,0,1,10e,6.5998704992128365
4.204692619390966,4,2,7,3,1,1,0,Individuel,0,0,Average,0,0,1,0,15e,6.709304340258298
4.59511985013459,4,2,9,5,1,1,Balcon,Au gaz,0,0,Average,0,0,0,0,15e,7.2078598714324755
3.367295829986474,2,1,5,2,1,0,0,électrique,1,0,Average,0,0,0,0,18e,5.680172609017068
4.30406509320417,3,1,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,16e,6.779921907472252
3.258096538021482,1,0,8,5,1,1,Balcon,Au gaz,0,0,Average,0,0,0,0,15e,5.814130531825066
4.2626798770413155,3,2,4,1,1,1,0,"Individuel, au gaz",0,0,Average,0,0,1,0,20e,6.632265247295718
4.0943445622221,3,2,6,3,1,1,Balcon,Unknown,0,0,Average,0,0,0,0,15e,6.52795791762255
4.276666119016055,5,3,1,0,1,0,"Terrasse, balcon",Unknown,0,0,Small,1,0,0,0,19e,6.9985096422506015
2.70805020110221,1,0,0,3,1,0,0,Unknown,0,0,Average,0,0,0,0,9e,5.241747015059643
4.330733340286331,3,2,6,0,1,1,Terrasse,Central,0,1,Average,1,1,0,0,10e,6.732210706467206
3.4965075614664802,1,0,14,1,1,0,0,Unknown,0,1,Tower,0,0,0,0,19e,5.794841205603168
4.804021044733257,4,3,10,2,1,1,Balcon,Central,0,0,High,0,1,0,0,16e,7.394800374082724
5.081404364984463,5,3,6,1,1,1,0,"Individuel, au gaz",0,0,Average,0,0,1,0,10e,7.4673710669175595
4.454347296253507,4,3,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,15e,6.882437470997847
5.62040086571715,6,4,6,2,4,0,0,Unknown,0,0,Average,0,0,0,0,16e,8.160518247477505
3.784189633918261,3,2,5,5,1,0,Balcon,Unknown,0,0,Average,0,0,0,1,11e,6.104793232414985
4.204692619390966,3,2,5,2,1,0,0,"Individuel, au gaz",0,0,Average,0,0,1,0,10e,6.659293919683638
3.871201010907891,2,1,9,2,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,6.327936783729195
4.382026634673881,4,2,6,1,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,6.824373670043086
4.653960350157523,5,3,6,4,1,1,0,Au gaz,0,0,Average,0,0,0,0,18e,7.2078598714324755
